id,name,display_name,formatted_address,short_formatted_address,postal_code,latitude,longitude,rating,user_rating_count,price_level,price_range_start,price_range_start_currency,price_range_end,price_range_end_currency,primary_type,takeout,delivery,dine_in,curbside_pickup,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_brunch,serves_vegetarian_food,outdoor_seating,live_music,menu_for_children,serves_cocktails,serves_dessert,serves_coffee,good_for_children,allows_dogs,restroom,good_for_groups,good_for_watching_sports,accepts_debit_cards,accepts_cash_only,accepts_nfc,free_parking_lot,free_street_parking,valet_parking,wheelchair_accessible_parking,wheelchair_accessible_entrance,wheelchair_accessible_restroom,wheelchair_accessible_seating
ChIJvduhDjVZwokReg77D1pNQaQ,places/ChIJvduhDjVZwokReg77D1pNQaQ,Bangkok Supper Club,"641 Hudson St, New York, NY 10014, USA","641 Hudson St, New York",10014,40.739047,-74.00573849999999,4.5,441,,100,USD,,,Thai Restaurant,,False,True,False,True,,,True,True,True,,,False,False,False,True,True,True,False,,True,True,False,True,False,True,,,,False,True,True,True
ChIJCRHri79ZwokRtRtXu6RcEsA,places/ChIJCRHri79ZwokRtRtXu6RcEsA,Catch NYC,"21 9th Ave, New York, NY 10014, USA","21 9th Ave, New York",10014,40.7403172,-74.0062542,4,3902,PRICE_LEVEL_EXPENSIVE,100,USD,,,Restaurant,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,False,,True,,,True,True,True
ChIJB9FFib9ZwokRPzsGaqjCnoo,places/ChIJB9FFib9ZwokRPzsGaqjCnoo,Kobrick Coffee Co.,"24 9th Ave, New York, NY 10014, USA","24 9th Ave, New York",10014,40.7402731,-74.0055792,4.3,1406,PRICE_LEVEL_MODERATE,1,USD,10,USD,Coffee Shop,True,True,True,,True,True,True,,True,True,True,False,True,False,False,True,True,True,False,,True,,False,,False,True,,,False,False,True,,True
ChIJQ-3nEsBZwokRZq2rpFsBSP0,places/ChIJQ-3nEsBZwokRZq2rpFsBSP0,STK Steakhouse,"26 Little W 12th St, New York, NY 10014, USA","26 Little W 12th St, New York",10014,40.739793999999996,-74.00727499999999,4.8,15650,PRICE_LEVEL_VERY_EXPENSIVE,100,USD,,,Steak House,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,,True,True,False,True,False,True,,True,,,True,True,True
ChIJkc_fzm9ZwokR3vtKGxZSCQ8,places/ChIJkc_fzm9ZwokR3vtKGxZSCQ8,Cafe Luna,"628 Hudson St, New York, NY 10014, USA","628 Hudson St, New York",10014,40.7383306,-74.0053786,4.6,539,PRICE_LEVEL_MODERATE,10,USD,20,USD,Coffee Shop,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,,True,,False,True,False,True,,,,False,True,,True
ChIJY51bxcFZwokRiIS_lmEqeSE,places/ChIJY51bxcFZwokRiIS_lmEqeSE,Banter NYC - West Village,"643 Hudson St, New York, NY 10014, USA","643 Hudson St, New York",10014,40.739139699999996,-74.0057191,4.5,281,PRICE_LEVEL_MODERATE,20,USD,30,USD,Brunch Restaurant,True,True,True,,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,True,,,False,False,,,
ChIJxx1GLb5ZwokRXqUoslxEaLY,places/ChIJxx1GLb5ZwokRXqUoslxEaLY,Shake Shack Meatpacking District,"820 Washington St, New York, NY 10014, USA","820 Washington St, New York",10014,40.7395673,-74.00847379999999,4.2,330,PRICE_LEVEL_MODERATE,10,USD,20,USD,Hamburger Restaurant,True,True,True,,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,,True,True,False,True,False,True,,,False,False,True,True,True
ChIJrwjIEcBZwokRFqjDrYjIbK0,places/ChIJrwjIEcBZwokRFqjDrYjIbK0,Common Ground Bar,"63 Gansevoort St, New York, NY 10014, USA","63 Gansevoort St, New York",10014,40.7395947,-74.0073324,3.3,804,,20,USD,30,USD,Bar,True,,True,True,True,,,,True,True,,,True,True,,True,,,False,False,True,True,True,True,False,True,,True,,False,True,True,True
ChIJu3WF-z9ZwokRSIlFddmXX1k,places/ChIJu3WF-z9ZwokRSIlFddmXX1k,Osteria Nonnino,"637 Hudson St, New York, NY 10014, USA","637 Hudson St, New York",10014,40.7388972,-74.0057401,4.8,1307,PRICE_LEVEL_MODERATE,50,USD,100,USD,Italian Restaurant,True,True,True,True,True,,True,True,True,True,True,,True,False,True,True,True,True,True,,True,,False,True,False,,,,,False,True,,True
ChIJHyOj9stZwokR6ZD9u3R7jDE,places/ChIJHyOj9stZwokR6ZD9u3R7jDE,Stafili Wine Cafe,"796 Greenwich St, New York, NY 10014, USA","796 Greenwich St, New York",10014,40.7373928,-74.0065965,4.5,306,PRICE_LEVEL_INEXPENSIVE,,,,,Wine Bar,True,True,True,,True,,,,True,True,,,True,False,,True,,,False,,True,,False,True,False,True,,,,False,True,True,
